$0 results found.	Nenalezen žádný výsledek.
$LoginError_BNET_PS4_HTTP_BEFORE_INIT	Operaci se nepodařilo dokončit.
$LoginError_BNET_SERVER_ERROR	Přihlášení k Bethesda.net serverům se nezdařilo [SRV].
$LoginError_BNET_TIMEOUT	Vypršel časový limit spojení.
$LoginError_BNET_UGC_CONTENT_DOES_NOT_EXIST	Požadovaný obsah neexistuje.
$LoginError_BNET_UGC_INVALID_TOKEN	Relace ukončena.
$LoginError_BNET_UGC_USER_NOT_ALLOWED_TO_ACCESS_CONTENT	Pokus o přístup k zakázané modifikaci.
$LoginError_BNET_UNACCEPTED_LEGAL_DOCUMENT	Nebyly přijaty licenční podmínky. Přihlas se na Bethesda.net skrze webový prohlížeč.
$LoginError_BNET_UNKNOWN_ERROR	Operaci se nepodařilo dokončit [UNK].
$LoginError_BNET_WINHTTP_INVALID_SERVER_RESPONSE	Připojení k serverům Bethesda.net se nezdařilo [WIN].
$LoginError_BNET_XBOX_ONE_USER_ERROR	Připojení k serverům Bethesda.net se nezdařilo [XBX].
$LoginError_FAILED_TO_LINK_TO_STEAM	Pro využití této funkce je vyžadováno přihlášení na Steam.
$LoginError_Needs1stPartyUpdate	Pro pokračování je nutná aktualizace.
$LoginError_NotSignedIn1stPartyDurango	Pro pokračování je požadováno přihlášení na účet Xbox.
$LoginError_NotSignedIn1stPartyOrbis	Pro pokračování je požadováno přihlášení na účet PlayStation™Network.
$LoginError_NotSignedIn1stPartyProspero	Pro pokračování je požadováno přihlášení na účet PlayStation™Network.
$LoginError_PS4AuthFailed	Přihlášení PS4 selhalo.
$LoginError_PS5AuthFailed	Přihlášení PS5 selhalo.
$LoginPage_Footer	Hraj s modifikacemi na vlastní nebezpečí. Modifikace mohou působit problémy. Pomocí Pořadí načítání můžeš zakázat jednotlivé modifikace a k původní uložené pozici se můžeš vrátit kdykoliv přes Zvolit postavu v nabídce Načíst. Na stahování a hraní s modifikacemi se vztahují naše Podmínky užití. Pozor: Achievementy jsou vypnuty.
$LoginPage_Footer_PS4	Hraj s modifikacemi na vlastní nebezpečí. Modifikace mohou působit problémy. Pomocí Pořadí načítání můžeš zakázat jednotlivé modifikace a k původní uložené pozici se můžeš vrátit kdykoliv přes Zvolit postavu v nabídce Načíst. Na stahování a hraní s modifikacemi se vztahují naše Podmínky užití. Pozor: Trofeje jsou vypnuty.
$LoginPage_Header	Pro prohlížení modifikací komunity Bethesda.net se musíš přihlásit. Přihlášení připojí tvůj účet z Bethesda.net k automatickému přihlašování.
$LOOK	PODÍVAT
$Look Sensitivity	Citlivost rozhlížení
$LOW	LOW
$LUCK	ŠTĚSTÍ
$Main Menu	Hlavní nabídka
$MAIN MENU	HLAVNÍ NABÍDKA
$Make	Vyrobit:
$MAKE	VYROBIT
$MAP	MAPA
$Marketplace Title	Modifikace
$MarketplaceDataResetBlock	Probíhá načítání herních dat. Před dokončením není možné modifikovat instalovaný obsah.
$MarketplaceDataResetFree	Načtení dat dokončeno. Můžeš modifikovat nainstalovaný obsah.
$Master	Celková
$MEDIUM	STŘEDNÍ
$Melee	Úder / Silný útok / Granát
$MOD SLOTS	SLOTY PRO MODIFIKACE
$Mod_AccountSettings	MOŽNOSTI
$Mod_Details	DETAILY
$Mod_LibraryDelete	SMAZAT
$Mod_LibraryDisable	ZAKÁZAT
$Mod_LibraryEnable	POVOLIT
$Mod_MyLibrary	Pořadí načítání
$Mod_Reorder	USPOŘÁDAT
$Mod_Search	VYHLEDAT
$MODIFY	MODIFIKOVAT
$ModLimitLabel	Stažené modifikace
$MODS LOADED	NAČTENÉ MODIFIKACE
$ModSpace:	Celkem:
$More...	Více...
$MoreFromAuthor	Zobrazit další od stejného autora
$MORE_RESOURCES	MORE RESOURCES REQUIRED.
$MostFavorited	Nejvíce oblíbené
$MostFavoritedAllTime	Nejvíce oblíbené - celkově
$MostFavoritedThisMonth	Nejvíce oblíbené - tento měsíc
$MostFavoritedThisWeek	Nejvíce oblíbené - tento týden
$MostFavoritedToday	Nejvíce oblíbené - dnes
$MostLikedThisWeek	Nejvíce se líbí - tento týden
$MostPopularAllTime	Nejpopulárnější - celkově
$MostPopularThisMonth	Nejpopulárnější - tento měsíc
$MostPopularThisWeek	Nejpopulárnější - tento týden
$MostPopularToday	Nejpopulárnější - dnes
$MotionControllers	Motion Controllers
$Mouse Move	Pohyb myši
$MOVE	POHYB
$Move	Pohyb
$MoveMarker	Přesunout
$MoveMarkerQuestion	Určitě chceš svou značku přesunout nebo odstranit?
$MoveMode	Movement Mode
$MUSCULAR	SVALNATÉ
$Music	Hudba
$My Authored Creations	MNOU NAHRANÉ MODIFIKACE
$My Creations	Moje modifikace
$My Favorites	Moje oblíbené
$My Library	Moje knihovna
$My Perks	MOJE PERKY
$Name:	Jméno:
$NAVIGATE	NAVIGATE
$NavigateObjectives	VYBER CÍL
$Need Updates	Dostupné aktualizace
$NEW	NOVÁ HRA
$New Game Difficulty	Nová herní obtížnost
$New Perks	VŠECHNY PERKY
$NewsOptInMessage	Chci dostávat novinky od Bethesdy!
$NEXT	DALŠÍ
$NEXT PERK	DALŠÍ ÚROVEŇ
$NO GALLERY	ŽÁDNÁ GALERIE
$No	Ne
$NO	NE
$No content found.	Nebyl nalezen žádný obsah.
$No PS4 save data was found. You may still be able to transfer your saves over Playstation Plus Cloud Storage or by using an extended storage drive.	Nebyla nalezena žádná uložená data PS4. Můžeš zkusit přenést uložené pozice přes cloudové úložiště PlayStation®Plus nebo pomocí externího paměťového zařízení.
$No refunds.All purchases final.	Chceš obsah opravdu zakoupit?
$NoDeviceSelected	Není vybráno úložné zařízení. Musíš nějaké vybrat, než budeš moct hru uložit. Do té doby je automatické ukládání vypnuto.
$None	Žádný
$NONE	ŽÁDNÝ
$NoProfileSelected	Nejsi přihlášen k hráčskému profilu. Budeš se muset přihlásit k hráčskému profilu, abys mohl ukládat svůj postup. Chceš se teď přihlásit?
$Normal	Normální
$NOT INSTALLED	NENAINSTALOVÁNO
$Not enough credits	Pro zakoupení vybrané položky nemáš dostatek kreditů.
$Object Fade	Mizení objektů
$OFF	VYP.
$OK	POTVRDIT
$ON	ZAP.
$OPTIONS	NASTAVENÍ
$Options	NASTAVENÍ
$OVERALL	Celkem
$Overwrite?	Přepsat?
$OWNED	PŘIDÁNO
$OWNED	Přidáno
$OWNED [NEEDS GAME RESET]	PŘIDÁNO [ČEKÁ NA POVOLENÍ]
$OWNED [NOT DOWNLOADED]	PŘIDÁNO [NESTAŽENÉ]
$PART	ČÁST
$Password	Heslo
$Pause	Pozastavení hry
$PausePipboyOpen	Pause When Pipboy Is Open
$PEOPLE	LIDÉ
$PERCEPTION	VNÍMÁNÍ
$Performance Mode Setting	Výkonnostní režim
$Perk_NextRankAvailable	JE DOSTUPNÁ DALŠÍ ÚROVEŇ!
$PERK_REQUIREMENTS	PERK REQUIREMENTS NOT MET.
$PerksLowReqs	Požadavky nejsou splněny.
$Photosensitivity Mode Setting	Fotocitlivý režim
$Photosensitivity Strength	Úroveň fotosenzitivity
$Pipboy	Pip-Boy
$PIPBOY	PIP-BOY
$PipboyColorB	Barva Pip-Boy - mod.
$PipboyColorG	Barva Pip-Boy - zel.
$PipboyColorR	Barva Pip-Boy - čer.
$PipboyConditionCategory	STAV
$PipboyLocation	Pip-Boy Location
$PipboyPerksCategory	PERKY
$PipboyScale	Pip-Boy Scale
$PipboySPECIALCategory	S.P.E.C.I.A.L.
$PLACE	UMÍSTIT
$Place	Umístit
$PlaceMarker	Umístit značku
$PLACEMARKER	UMÍSTIT ZNAČKU
$PLAY	PŘEHRÁT
$PlayerHeightCalibration	Player Height Calibration
$PlayerSetMarkerName	Vlastní značka
$POCKS	VYRÁŽKA
$POINT AVAILABLE	DOSTUPNÝ BOD
$POINTS AVAILABLE	DOSTUPNÉ BODY
$POSITION	POZICE
$POWER	ENERGIE
$PowerArmorMarkerName	Energozbroj
$PREPARE	PŘIPRAVIT
$PRESETS	PŘEDNASTAVENÍ
$Press a button to map to this action.	Stiskni tlačítko, které chceš k této akci přiřadit.
$Press any button to start	Pro pokračování stiskni libovolné tlačítko
$PREV	PŘEDCHOZÍ
$PREV PERK	PŘEDCHOZÍ ÚROVEŇ
$PrimaryAttack	Útok
$PS5_TRANSFER_PS4_SAVES	PŘENÉST POZICE
$PURCHASE	ZAKOUPIT
$Purchased	Zakoupené
$Purchase Creation	Koupit obsah
$Purchase Credits	Koupit kredity
$PRODUCES	PRODUKUJE:
$Projected	Projected
$PUT AWAY WEAPON	PUT AWAY WEAPON
$QUANTITY	MNOŽSTVÍ
$Quantity:	Množství:
$Quest	Úkoly
$QUESTS	ÚKOLY
$Queued...	Ve frontě...
$QuickAccountPage_Header	Volbou „VYTVOŘIT ÚČET“ potvrzuješ, že jsi starší 13 let a souhlasíš s podmínkami užití, zásadami ochrany osobních údajů a kodexem chování. Vytvoření účtu spáruje tvůj účet Bethesda.net pro automatické přihlašování.
$Quick Inventory	Inventář
$Quick Magic	Magie
$Quick Map	Mapa
$Quick Stats	Stav
$QuickContainerTransfer	PROHLEDAT
$QuickData	Údaje
$QuickInventory	Inventář
$Quickkeys	Oblíbené
$Quickload	Rychlé načtení
$QuickMap	Mapa
$QuickRadio	Rádio
$Quicksave	Rychlé uložení
$QUICKSAVE	RYCHLÉ ULOŽENÍ
$Quicksaving...	Rychlé ukládání...
$QuickStats	Stav
$Quit	Konec
$QUIT	KONEC
$Quit to desktop?	Odejít na plochu?
$Quit to desktop?  Any unsaved progress will be lost.	Odejít na plochu?  Veškerý neuložený postup bude ztracen.
$Quit to main menu?  Any unsaved progress will be lost.	Odejít do hlavní nabídky?  Veškerý neuložený postup bude ztracen.
$Radaway	RAD-AWAY
$Radio	Rádio
$RADIO	RÁDIO
$RadioOff	VYPNOUT RÁDIO
$RADS	RAD.
$RANDOM	NÁHODNĚ
$Randomize	Zamíchat
$Rank:	Úroveň:
$Rate	Hodnotit
$READ		ČÍST
$ReadyWeapon	Tasit / Přebít
$RECIPES	NÁVODY
$REGISTRATION FORM	REGISTRAČNÍ FORMULÁŘ
$Reloading	Přenačítání
$REMOVE	ODSTRANIT
$REMOVE ALL	ODSTRANIT VŠE
$Remove Bookmark	Odznačit
$RemoveMarker	Odstranit značku
$RENAME	PŘEJMENOVAT
$Repair	Opravit
$REPAIR	OPRAVIT
$REPAIR WITH	OPRAVIT S POUŽITÍM
$RepairConfirm	Opravit s použitím:
$Report	Nahlásit
$Reported	Nahlášeno
$Reporting...	Nahlašování...
$ReportMod_ChooseCategory	Na základě jakého porušení podmínek je modifikace nahlašována?
$ReportMod_Confirm	Nahlásit modifikaci pro nevhodný obsah, obecné zneužití nebo porušení pravidel chování a podmínek užití?
$ReportModCat_BadName	Špatný název
$ReportModCat_Explicit	Nevhodný obsah
$ReportModCat_GeneralAbuse	Jiné
$ReportModCat_Harassment	Obtěžování
$ReportModCat_Impersonation	Krádež identity
$ReportModCat_MaliciousContent	Závadný obsah
$ReportModCat_Misplaced	Chybné zařazení
$ReportModCat_OffensiveContent	Urážlivý obsah
$ReportModCat_PiracyOrStolen	Pirátství nebo krádež
$ReportModCat_PrivateInfo	Zneužití osobních údajů
$ReportModCat_Profanity	Sprostá mluva
$ReportModCat_Racial	Rasová diskriminace
$ReportModCat_Religious	Náboženská diskriminace
$ReportModCat_Slander	Hanobení
$ReportModCat_Spam	Spam
$Req:	Pož.: úroveň 
$REQUIRED_DLC	Vyžadovaný stažitelný obsah:
$REQUIRED_MODS	Vyžadované modifikace:
$REQUIRES	POŽADUJE
$REQUIRES:	POŽADUJE:
$REQUIRES UPDATE	VYŽADUJE AKTUALIZACI
$Reset	Resetovat
$RESET	RESETOVAT
$Reset settings to default values?	Vrátit nastavení na výchozí hodnoty?
$RESETTRADE	ZRUŠIT OBCHOD
$ResultsFor	Výsledky pro
$RESUME	POKRAČOVAT
$RETURN	ZPĚT
$returnBack	Zpět
$rng	Dostřel
$ROF	Kadence
$ROTATE	OTOČIT
$Rotate Lock	Otočit zámek
$Rotate Pick	Otočit vlásenku
$Run	Běh
$SAFETY	OBRANA
$Sanctuary	Sanctuary
$SANCTUARY	DÍLNY
$Sale:	Akce:
$SAVE	ULOŽIT
$SAVE CORRUPT	ULOŽENÁ POZICE JE POŠKOZENA
$Save in Pipboy	Ukládání v Pip-Boyovi
$SAVE OBSOLETE	ULOŽENÁ POZICE JE ZASTARALÁ
$Save on Rest	Ukládání při odpočinku
$Save on Travel	Ukládání při cestování
$Save on Wait	Ukládání při čekání
$Save over this game?	Chceš přepsat tuto herní pozici?
$SaveGame	Uložit
$SaveGameContentIsMissing	Tato uložená pozice závisí na obsahu, který není přítomen.  Některé objekty nemusí být dostupné. Pokračovat v načítání?
$SaveGameContentNotPresentContinue	Následující obsah není přítomen.
$SaveGameCreationContentMissing	Tato uložená pozice závisí na chybějícím obsahu z Creation Clubu.
$SaveGameCreationContentAndModsMissing	Tato uložená pozice závisí na chybějících modifikacích a obsahu z Creation Clubu.
$SaveGameDeviceError	Nastala chyba při přístupu na úložné zařízení.  Prosím zkus znovu.
$SaveGameDifferentLoadOrder	Tato uložená pozice využívá pořadí načítání modifikací odlišné od aktuálního nastavení.
$SaveGameOrCurrentLoadOrder	Chceš použít pořadí načítání z této uložené pozice, nebo aktuálně nastavené pořadí načítání?
$SaveGameInactiveContent	Tato uložená pozice závisí na modifikacích, které máš stažené, ale nejsou aktivní:
$SaveGameLoadOrderCurrent	Současné
$SaveGameMissingContent	Chybějící obsah
$SaveGameMissingContentActivate	Aktivovat nyní?
$SaveGameMissingContentDownload	Stáhnout nyní?
$SaveGameMissingCreationsCheck	Kontrola chybějících modifikací
$SaveGameMissingCreationsContentDownload	Tato uložená pozice závisí na chybějících modifikacích:
$SaveGameMissingDLCContent	Tato uložená pozice závisí na chybějících rozšířeních:
$SaveGameMissingDLCContentOption	Některé objekty nemusí být dostupné. Poračovat v načítání?
$SaveGameMissingLoadOrder	Tato uložená pozice využívá odlišné pořadí načítání This save uses a different Creations Load Order than your current Load Order. Would you like to use the Load Order from this save, or your current Load Order?
$SaveGameMissingUnavailableContent	Jedna nebo více modifikací použitých v této uložené pozici nebyly nalezeny. Mohly být smazány nebo skryty autorem.
$SaveGameMissingUnavailableSearch	Chybějící obsah můžeš zkusit vyhledat v nabídce Modifikace.
$SaveGameMissingUnidentifiedContent	Tato uložená pozice závisí na chybějícím obsahu. Následující položky nejsou přítomné:
$SaveGameMissingUnidentifiedSearch	Chceš zkusit vyhledat chybějící obsah v nabídce Modifikace?
$SaveGameMissingUnownedContent	Následující obsah není v tvém vlastnictví:
$SaveGameObjectsUnavailableContinue	Některé objekty nemusejí být dostupné. Pokračovat v načítání?
$SaveGameOutOfDiskSpace	Na úložném zařízení není dostatek místa pro uložení tvého postupu. Prosím smaž některé stávající uložené hry.
$SaveGameShow	Zobrazit
$Saving...	Ukládání...
$SCALE	VELIKOST
$SCAR	JIZVA
$Scrap	Sešrotovat
$SCRAP	SEŠROTOVAT
$SCROLL	SCROLL
$SCULPT	TVAROVAT
$Search	Hledat
$Search results for: 	Search results for: 
$Searching...	Hledání...
$Season Pass	Season Pass
$SecondaryAttack	Míření / Blokování
$Select	ZVOLIT
$SELECT	ZVOLIT
$SELECT CHARACTER	Vybrat postavu
$SelectL	Zvolit
$SELL	PRODAT
$SettingAttachPipboyToHMD	Attaching the pipboy to the HMD will cause the pipboy to detach from the wand and float out in front of the player when activated.  Note that 'Use Projected Pipboy' overrides this setting.
$SettingDifficultyGuideText	Obtížnost má vliv na poškození a na šanci potkat legendární nepřátele. Úroveň Přežití navíc výrazně snižuje rychlost léčení.
$SettingDifficultyGuideText_HC	Všechny úrovně obtížnosti ovlivňují poškození a šanci potkat legendární nepřátele. Úroveň Přežití poskytuje navíc dodatečné výzvy jako je žádné rychlé cestování a ukládání pozic pouze při spánku. Více informací je k nalezení v Nápovědě pod heslem "Přežití".
$SettingShowActivationPreview	Show in game indicators of activation direction and distance.
$Settings	Nastavení
$SETTINGS	NASTAVENÍ
$Settings: Audio	Nastavení: Zvuk
$Settings: Display	Nastavení: Obraz
$Settings: Gameplay	Nastavení: Hra
$SettingComfortScreenDitheringGuideText	Ovládání ditheringu na celé obrazovce.  Posunutím doprava se vytvoří silnější efekt.
$SettingComfortSneakGuideText	Press the grip button on the off-hand wand (default left) to enter or exit Sneak Mode.
$SettingComfortVignetteWhileMovingGuideText	Use a vignette on the edges of the screen while moving in direct movement mode. 
$SettingComfortVignetteWhileTurningGuideText	Use a vignette on the edges of the screen while turning in direct movement mode.
$SettingComfortVignetteSizeGuideText	Adjust the visbility of the vignette.  Sliding to the left will make the visible space smaller, while sliding to the right will make the visible space larger.
$SettingComfortVignetteEdgeSoftnessGuideText	Adjust the sharpness of the edge of the vignette.  Sliding to the left will create a softer vignette, while sliding to the right will sharpen the vignette edges.
$SettingWandLookAngleSnapGuideText	Push left or right on the primary wand touchpad to rotate the camera by fixed amounts.
$SettingHilightObjectGuideText	Adds a highlight around interactive objects that are in range and being pointed at.
$SettingWandLookAngleSnapSmoothingGuideText	Move the camera quickly over a few frames when snapping the camera left or right.
$SettingWandLookAngleSnapAmountGuideText	How many degrees to move the camera when snapping the camera left or right.
$SettingControlModeGuideText	Determines what control style you would prefer. Select "Gamepad" to play with a supported gamepad, or choose "Motion Controllers" to play using supported motion controls.
$SettingDirectMovementGuideText	Direct Movement will allow you to smoothly walk or sprint instead of teleporting. 
$SettingLeftHandedModeGuideText	Switches the Primary wand to the Left hand.
$SettingPipboyLocationGuideText	Adjusts the location of the Pip-Boy. "Wrist" will place the Pip-Boy on your wrist. "In front" will open the Pip-Boy at eye level when used. "Projected" will project the Pip-Boy screen at eye level when used. 
$SettingPipboyScaleGuideText	Adjusts the size of the wrist mounted Pip-Boy when it is in use.
$SettingShowPipboyModelGuideText	Toggles the Pipboy model to display if you are using the Projected Pipboy mode. 
$SettingUseProjectedPipboyGuideText	The Projected Pipboy will remove the standard Pipboy from your arm and cause any Pipboy related screens to project in front of your view.  Note that this setting overrides 'Attach Pipboy To HMD'.
$SetToSurvivalConfirmMessage	Úroveň Přežití poskytuje dodatečné výzvy zahrnující žádné rychlé cestování, ukládání pouze při spánku, zvýšená smrtelnost, nemoci, vyčerpání a další. Více detailů je k nalezení v Nápovědě pod heslem "Přežití". Chceš pokračovat?
$SEX	POHLAVÍ
$Shadow Distance	Mizení stínů
$Show Active Effects On HUD	Zobrazovat aktivní efekty v HUD
$ShowActivationPreview	Show Activation Preview
$Show All Saves	Zobrazit všechny uložené pozice
$SHOW EFFECTS	ZOBRAZIT EFEKTY
$Show Floating Markers	Zobrazit ikony
$Show on Map	UKÁZAT NA MAPĚ
$ShowCaravans	UKÁZAT ZÁSOBOVACÍ CESTY
$ShowEULA	Zobrazit Podmínky užití
$ShowPipboyModel	Show Pipboy Model
$ShowQuestSummary	ZOBRAZIT PŘEHLED
$SHRINK	ZMENŠIT
$Sign Up for An Account	Vytvořit účet
$Sit	Sednout
$SIZE	VELIKOST
$Skins	Skiny
$SKIN TONE	BARVA KŮŽE
$SKIP	PŘESKOČIT
$SleepPrompt	Spát
$SLOW	POMALÁ
$SMOOTH	SMOOTH
$SNAP	SNAP
$SnapTurnDegrees	Snap Turn Degrees
$Sneak	Plížit se
$sNoExitSaveQuit	Uložení pozice při ukončení je vypnuto.  Probíhá návrat do hlavní nabídky.
$sNoExitSaveQuitConfirm	Uložení pozice při ukončení je vypnuto.  Chceš i přesto odejít do hlavní nabídky?
$sNoExitSaveQuitToDesktopConfirm	Uložení pozice při ukončení je vypnuto.  Chceš hru i přesto ukončit?
$SonyAutoPopulateMessage	Stisknutím tlačítka [x] pro automatické vyplnění e-mailu se pole e-mailové adresy vyplní e-mailovou adresou tvého účtu Sony Entertainment Network (SEN).
$SORT	SEŘADIT
$Sort	Seřadit
$Sorted by: 	Seřadit dle: 
$SORT_ACC	SEŘADIT (PŘE)
$SORT_DMG	SEŘADIT (POŠ)
$SORT_RNG	SEŘADIT (DOS)
$SORT_ROF	SEŘADIT (KAD)
$SORT_VAL	SEŘADIT (HOD)
$SORT_WT	SEŘADIT (HM)
$Sort Results	Seřadit výsledky
$SPACEBAR)	MEZERNÍK)
$SpecialConfirmResetPoints	Zrušit přidělené body a začít odznovu?
$SpecialIntroText	Pověz nám něco o sobě! Vault-Tec potřebuje vědět, jaký jsi občan, aby mohl zajistit tvou budoucí spokojenost.
$SpecialNameCharacter	Jméno obsahuje nepovolené znaky.
$SpecialNameEmpty	Pro pokračování musíš pojmenovat svoji postavu.
$SpecialPointsRemaining	Pro pokračování musíš použít všechny body.
$Specularity Fade	Mizení odlesků
$speed	Rychlost
$SPLOTCHY	SKVRNY
$Sprint	Sprint
$STAT	STAT.
$STATS	STATISTIKY
$STEAL	UKRÁST
$Stimpak	STIMPAK
$STORE	ODLOŽIT
$StoreAllJunk	ODLOŽIT VŠECHNU VETEŠ
$StrafeLeft	Úkrok vlevo
$StrafeRight	Úkrok vpravo
$StreamInstallCaption	Instaluji
$STRENGTH	SÍLA
$STYLE	STYL
$SUBJPrepend	VĚC:
$Subscribe	Odebírat
$Subscribing	Přihlašování k odběru...
$Subscribing...	Přihlašování k odběru...
$SUBTRACT	ODEČÍST
$Super Stimpak	Super Stimpak
$Survival	Přežití
$Survival.esm	Úroveň Přežití (Beta)
$SurvivalBumpDownMessage	Došlo ke změně obtížnosti Přežití. Díky tomu byla tvá obtížnost snížena na Velmi těžkou. Více informací o aktualizacích v nápovědě k Přežití. Pro pokračování na úrovni Přežití, vyber znovu 'Přežití' re-select 'Survival' na posuvníku obtížnosti.
$SurvivalDenialMessage	S touto postavou již nelze hrát na obtížnosti Přežití.  Obtížnost bude snížena na Velmi těžkou.
$SWITCH	PŘEPNOUT
$SYRINGER	SYRINGER
$TAG FOR SEARCH	OZNAČIT PRO HLEDÁNÍ
$TAKE	VZÍT
$TAKE ALL	VZÍT VŠE
$TALK	PROMLUVIT
$Teleport	Teleport
$That button is reserved.	Toto tlačítko je již obsazeno.
$THIN	TENKÉ
$TimeFilterAll	Zobrazit za období (Vše)
$TimeFilterMonth	Zobrazit za období (Měsíc)
$TimeFilterToday	Zobrazit za období (Dnes)
$TimeFilterWeek	Zobrazit za období (Týden)
$TO PLACE	POLOŽIT
$TO STEAL	UKRÁST
$TOGGLE	PŘEPNOUT
$Toggle Edit	Mód editace
$Toggle Edit2	Mód umístění
$ToggleActive	Sledovat úkol
$ToggleAlwaysRun	Zapnout běhání
$TogglePOV	Pohled první osoby / Dílenský mód
$ToS	Podmínky užití
$TOTAL COST	CELKOVÁ CENA
$Total Value	Celková cena:
$TRADE	VYBAVENÍ
$TransferContainerLabel	ÚLOŽIŠTĚ
$TransferPlayerLabel	HRÁČ
$TuneToStation	NALADIT STANICI
$TurningMode	Turning Mode
$TYPE	TYP
$UNASSIGNED	BEZ PŘIRAZENÍ
$UNEQUIP	ODLOŽIT
$Unfollow	Nesledovat
$Unfollowing	Odznačování oblíbené položky...
$UnlinkAccount	Odpojit účet Bethesda.net
$Unlike	Odebrat To se mi líbí
$UNLOAD	VYJMOUT
$UNLOAD ALL	VYJMOUT VŠE
$UNOWNED	NEPŘIDÁNO
$UNOWNED/NOT DOWNLOADED	NEPŘIDÁNO/
$Updated	Aktualizováno
$Unsorted	Neseřazeno
$Unsubscribe	Zrušit odebírání
$Unsubscribing	Odhlašování z odběru...
$Update	Aktualizovat
$UPDATE	AKTUALIZOVAT
$UPSELL	Právě dostupné: Fallout 4: Balíček modifikací!
$UseComfortVignetteMove	Comfort Vignette While Moving
$UseComfortVignetteTurn	Comfort Vignette While Turning
$UseProjectedPipboy	Use Projected Pipboy
$USE CONSOLE EMAIL	AUTOMATICKY VYPLNIT E-MAIL
$Used	Použito
$Username	Uživatelské jméno
$val	Hodnota
$Variant	Varianta
$VATS	VATS
$VDSGPrepend	VDSG katalogové č. 
$VendorCapsTooLow	Obchodník nemá dostatek zátek. Přesto přijmout obchod?
$Verified Creators	Ověření autoři
$Verifying Connection	Ověřování spojení...
$Version:	Verze:
$Very Easy	Velmi jednoduchá
$VERY FAST	V. RYCHLÁ
$Very Hard	Velmi těžká
$VERY SLOW	V. POMALÁ
$Vibration	Vibrace
$View All	ZOBRAZIT VŠE
$View Eula	ZOBRAZIT SOUHLASY
$ViewIncludedCreations	ZOBRAZIT OBSAŽENÉ MODIFIKACE
$Voice	Hlas
$VRSETTINGS	VR
$Wait	ČEKEJ
$Waiting for data...	Čekání na načtení herních dat...
$WaitPrompt	Čekej
$WandLookAngleSnap	Use Wand Camera Rotation
$WandLookAngleSnapSmoothing	Smooth Wand Camera Rotation
$WandLookAngleSnapAmount	Wand Camera Rotation Amount
$WandLookAngleSnapAmount30	30
$WandLookAngleSnapAmount45	45
$WandLookAngleSnapAmount60	60
$WandLookAngleSnapAmount90	90
$WATER	VODA
$Weapons	Zbraně
$WNPC_Caravan	ZÁSOBOVACÍ CESTA
$WNPC_Caravan_Header	Vyber lokaci:
$WNPC_Command	PŘÍKAZ
$WNPC_Move	PŘESUN
$WORKSHOP	DÍLNA
$World	Svět
$World Map	MAPA SVĚTA
$Wrist	Wrist
$WS_Beds	Postele
$WS_Food	Jídlo
$WS_Happy	Spokojenost
$WS_People	Populace
$WS_Power	Energie
$WS_Safety	Obrana
$WS_Water	Voda
$wt	Hmotnost
$Yes	Ano
$YES	ANO
$YOU'VE_REACHED_LEVEL	Nová úroveň:
$ZOOM IN	PŘIBLÍŽIT
$ZOOM OUT	ODDÁLIT
$Settings_FrameCap	Cílová snímková frekvence
$Settings_FrameCap_60	60
$Settings_FrameCap_40	40
$Settings_FrameCap_On	30
$Settings_VisualFidelity	Priorita
$Settings_VisualFidelity_High	Vzhled
$Settings_VisualFidelity_Low	Výkon
$?	?
